CODE ADHERENT;NOM FOURNISSEUR;TYPE DE PIECE;DOCUMENT NUMBER;DATE;LIGNE_FACTURE;FAMILLE;REF PRODUIT;LIBELEE PRODUIT;ETAT DEPOT;QUANTITE;VAT rate;PRIX D'ACHAT CATALOGUE HT;PRIX D'ACHAT REEL HT;PRIX D'ACHAT REEL TTC;DELIVERY NOTE NUMBER;DELIVERY NOTE Date;CUST.REF;ANCIEN N° SERIE ;N° SERIE
GF007;STARKEY;FA;21549123;2022-12-02;1;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;4228339;2022-12-02;;;210797036
INNO002;STARKEY;FA;21549124;2022-12-02;1;PT;PT14;RETOUR TNT FRANCE;;1;2000;12,25;12,25;14,70;4226564;2022-12-01;;;
593;STARKEY;FA;21549125;2022-12-02;2;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4226593;2022-12-01;MAIL JO 30/11;;
GF0016;STARKEY;FA;21549126;2022-12-02;1;PT;PT14;RETOUR TNT FRANCE;;1;2000;12,25;12,25;14,70;4226621;2022-12-01;ECHANGE;;
GF0016;STARKEY;FA;21549126;2022-12-02;2;PR;63289-106;STARKEY EVOLV AI 2400 RIC R Black;;1;0550;1517,00;0,00;0,00;4226621;2022-12-01;ECHANGE;;222048657
GF0016;STARKEY;FA;21549126;2022-12-02;3;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4226621;2022-12-01;ECHANGE;;
GF0016;STARKEY;FA;21549126;2022-12-02;4;PR;63289-106;STARKEY EVOLV AI 2400 RIC R Black;;1;0550;1517,00;0,00;0,00;4226621;2022-12-01;ECHANGE;;222048654
GF0016;STARKEY;FA;21549126;2022-12-02;5;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4226621;2022-12-01;ECHANGE;;
UNIS001;STARKEY;FA;21549127;2022-12-02;1;TEL;60111-602;TELECOMMANDE SURFLINK AVANCEE (3&Z SERIES / MUSE & MUSE iQ);;1;0550;121,00;100,00;105,52;4226624;2022-12-01;DAGUERRE;;E222353561
UNIS001;STARKEY;FA;21549127;2022-12-02;2;REPA;RRIICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;4227301;2022-12-01;;;7021051545
UNIS001;STARKEY;FA;21549127;2022-12-02;3;REPA;RRIICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;4227379;2022-12-01;;;7019501545
UNIS001;STARKEY;FA;21549127;2022-12-02;4;PR;63327-SHT;STARKEY EVOLV AI 2400 IIC NW;;1;0550;1265,00;546,45;576,50;4228134;2022-12-02;;;7022481061
UNIS001;STARKEY;FA;21549127;2022-12-02;5;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4228134;2022-12-02;;;
UNIS001;STARKEY;FA;21549127;2022-12-02;6;PR;63322-SHT;STARKEY EVOLV AI 2400 CIC;;1;0550;1255,00;493,16;520,28;4228197;2022-12-02;;;7022481304
UNIS001;STARKEY;FA;21549127;2022-12-02;7;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4228197;2022-12-02;;;
UNIS001;STARKEY;FA;21549127;2022-12-02;8;PR;63322-SHT;STARKEY EVOLV AI 2400 CIC;;1;0550;1255,00;493,16;520,28;4228197;2022-12-02;;;7022481303
UNIS001;STARKEY;FA;21549127;2022-12-02;9;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4228197;2022-12-02;;;
532;STARKEY;FA;21549128;2022-12-02;1;PT;PT14;RETOUR TNT FRANCE;;1;2000;12,25;12,25;14,70;4226631;2022-12-01;;;
532;STARKEY;FA;21549128;2022-12-02;2;AC;43041-000;CHARGEUR INTRA PREMIUM (avec batterie embarquée);;1;0550;178,00;80,00;84,40;4226631;2022-12-01;;;220840447A
532;STARKEY;FA;21549128;2022-12-02;3;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4226631;2022-12-01;;;
ARI010;STARKEY;FA;21549129;2022-12-02;1;AC;18616-132;ECOUTEUR RIC SNAPFIT 50dB DROIT Taille 2 Courbe;;1;0550;29,00;14,00;14,77;4226805;2022-12-01;;;
ARI010;STARKEY;FA;21549129;2022-12-02;2;AC;18617-132;ECOUTEUR RIC SNAPFIT 50dB GAUCHE Taille 2 Courbe;;1;0550;29,00;14,00;14,77;4226805;2022-12-01;;;
ARI010;STARKEY;FA;21549129;2022-12-02;3;PT;PT14;RETOUR TNT FRANCE;;1;2000;12,25;12,25;14,70;4226805;2022-12-01;;;
ARI010;STARKEY;FA;21549129;2022-12-02;4;AC;43061-000;CHARGEUR BTE/RIC PREMIUM (avec batterie embarquée);;1;0550;178,00;80,00;84,40;4226805;2022-12-01;;;2229600T8E
ARI010;STARKEY;FA;21549129;2022-12-02;5;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4226805;2022-12-01;;;
INNO001;STARKEY;FA;21549130;2022-12-02;1;PR;SA TN3N;STARKEY MUSE IQ 1200 CIC;;1;0550;389,00;275,13;290,26;4226820;2022-12-01;;;7022441633
INNO001;STARKEY;FA;21549130;2022-12-02;2;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4226820;2022-12-01;;;
INNO001;STARKEY;FA;21549130;2022-12-02;3;PR;SA TN3N;STARKEY MUSE IQ 1200 CIC;;1;0550;389,00;275,13;290,26;4226820;2022-12-01;;;7022441632
INNO001;STARKEY;FA;21549130;2022-12-02;4;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4226820;2022-12-01;;;
INNO001;STARKEY;FA;21549130;2022-12-02;5;PR;63322-SHT;STARKEY EVOLV AI 2400 CIC;;1;0550;1255,00;493,16;520,30;4227861;2022-12-02;;;7022471988
INNO001;STARKEY;FA;21549130;2022-12-02;6;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4227861;2022-12-02;;;
INNO001;STARKEY;FA;21549130;2022-12-02;7;PR;63322-SHT;STARKEY EVOLV AI 2400 CIC;;1;0550;1255,00;493,16;520,28;4227861;2022-12-02;;;7022471987
INNO001;STARKEY;FA;21549130;2022-12-02;8;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4227861;2022-12-02;;;
INNO001;STARKEY;FA;21549130;2022-12-02;9;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;4227862;2022-12-02;;;200981673
INNO001;STARKEY;FA;21549130;2022-12-02;10;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;4227863;2022-12-02;;;201386795
INNO001;STARKEY;FA;21549130;2022-12-02;11;REPA;RRRICC9;REPARATION GRATUITE;;1;0550;0,00;0,00;0,00;4227865;2022-12-02;;;201640222E
INNO001;STARKEY;FA;21549130;2022-12-02;12;REPA;RRIICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;4228277;2022-12-02;;;7018471833
GA308;STARKEY;FA;21549131;2022-12-02;1;PO;65464-000;FLEX DE PROGRAMMATION ORANGE A L'UNITE;;2;0550;22,00;44,00;46,42;4226923;2022-12-01;;;
GA006;STARKEY;FA;21549132;2022-12-02;1;PR;63324-SHT;STARKEY EVOLV AI 1600 CIC;;1;0550;1013,00;417,49;440,46;4226972;2022-12-01;;;7022461782
GA006;STARKEY;FA;21549132;2022-12-02;2;PT;PT1;PORT TNT ALLER / RETOUR;;1;2000;28,75;28,75;34,50;4226972;2022-12-01;;;
GA006;STARKEY;FA;21549132;2022-12-02;3;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4226972;2022-12-01;;;
GA006;STARKEY;FA;21549132;2022-12-02;4;PR;63324-SHT;STARKEY EVOLV AI 1600 CIC;;1;0550;1013,00;417,49;440,45;4226972;2022-12-01;;;7022461781
GA006;STARKEY;FA;21549132;2022-12-02;5;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;4226972;2022-12-01;;;
